date,WETH,LDO,WETH_price,LDO_price,WETH_usd_volume,LDO_usd_volume,daily_volume_usd,fees_usd
2023-02-05,5536563.89503211,6987.192958146977,1629.02,2.049,9019173316.285208,14316.758371243155,9019187633.04358,27057562.89913074
2023-02-06,7362142.791307927,9878.75936478566,1614.29,2.201,11884633486.580473,21743.149361893236,11884655229.729836,35653965.68918951
2023-02-07,12316496.256677425,18596.942559199175,1671.03,2.581,20581234739.795677,47998.70874529307,20581282738.50442,61743848.21551327
2023-02-08,7522559.793191173,11429.55592571905,1650.43,2.561,12415458359.47651,29271.092725766488,12415487630.569235,37246462.8917077
2023-02-09,23308910.496781394,38003.42380917215,1545.35,2.633,36020424836.201126,100063.01488955026,36020524899.21602,108061574.69764806
2023-02-10,10870634.078275904,17645.576090794955,1513.06,2.279,16447921598.47614,40214.2679109217,16447961812.74405,49343885.438232146
2023-02-11,5372414.4625882115,8178.360591160052,1538.51,2.369,8265513374.836589,19374.536240458165,8265532749.372829,24796598.24811849
2023-02-12,6057880.5538438065,9883.09835647914,1514.83,2.507,9176659199.379213,24776.927579693205,9176683976.306793,27530051.92892038
2023-02-13,5506239.341094458,8598.659146525328,1505.24,2.388,8288211705.7890215,20533.59804190248,8288232239.387063,24864696.718161188
2023-02-14,5562604.947561448,8986.883336461337,1555.71,2.57,8653800142.970821,23096.290174705635,8653823239.260996,25961469.71778299
2023-02-15,5836054.737514762,9914.663752649722,1674.92,2.854,9774924800.958225,28296.450350062307,9774953097.408575,29324859.292225726
2023-02-16,7352215.958813601,12361.389151122874,1637.84,2.596,12041753385.983269,32090.16623631498,12041785476.149506,36125356.42844852
2023-02-17,6877625.445258856,11866.449820266362,1693.87,3.031,11649803412.960617,35967.209405227346,11649839380.170023,34949518.14051007
2023-02-18,4286675.882628532,7890.747861762404,1691.62,3.25,7251426656.572077,25644.93055072781,7251452301.502627,21754356.904507883
2023-02-19,3699125.241907025,6754.007045170934,1679.75,2.942,6213605625.093326,19870.28872689289,6213625495.382052,18640876.48614616
