date,WETH,WBTC,WETH_price,WBTC_price,WETH_usd_volume,WBTC_usd_volume,daily_volume_usd,fees_usd
2023-05-15,948.51051939,14202.008594497682,1816.2,27162.14,1722684.805316118,385756945.72494924,387479630.53026533,193739.81526513267
2023-05-16,348.56338161,5202.497955235828,1824.21,27033.84,635852.8063667781,140643497.32217255,141279350.12853932,70639.67506426966
2023-05-17,688.27332597,10248.594492613967,1822.12,27405.61,1254116.5927164564,280868983.7127263,282123100.30544275,141061.55015272138
2023-05-18,657.26706725,9842.062490742286,1800.56,26821.28,1183448.7906076598,263976713.84169626,265160162.63230392,132580.08131615198
2023-05-19,262.62562986,3902.1225673309914,1812.32,26880.26,475961.6815078752,104890069.16172455,105366030.84323242,52683.01542161621
2023-05-20,236.26680332,3507.396489279543,1819.42,27102.43,429868.54729647445,95058967.83294456,95488836.38024104,47744.418190120516
2023-05-21,300.07679471,4465.735222179145,1804.91,26747.78,541611.6075400261,119448503.26109889,119990114.86863892,59995.05743431946
2023-05-22,317.88338425,4708.434449214384,1817.35,26849.27,577705.3683667375,126418027.80425827,126995733.172625,63497.866586312506
2023-05-23,505.20896681,7439.740629043178,1854.05,27219.61,936682.6849140804,202506838.42371,203443521.10862407,101721.76055431204
2023-05-24,698.22859133,10272.077414095711,1799.89,26329.01,1256734.6592489537,270453628.9565001,271710363.61574906,135855.18180787453
2023-05-25,793.73274949,11665.63296879448,1805.6,26473.79,1433163.8524791438,308833517.4329416,310266681.2854208,155133.3406427104
2023-05-26,549.98768744,8054.772782178549,1827.79,26705.92,1005261.9952259575,215110117.53903773,216115379.5342637,108057.68976713186
2023-05-27,243.72202169,3570.7638634506416,1829.89,26854.27,445984.4902703141,95890256.89534666,96336241.38561697,48168.12069280849
2023-05-28,1230.27516251,18201.968391177932,1908.64,28065.0,2348152.3861730862,510838242.89840865,513186395.2845817,256593.19764229088
2023-05-29,972.32241226,14283.492797624573,1892.6,27736.4,1840217.397443276,396172669.63203424,398012887.02947754,199006.44351473878
2023-05-30,776.76186236,11359.653224725846,1900.59,27694.4,1476305.8279827924,314598780.2668475,316075086.0948303,158037.54304741515
2023-05-31,723.17312772,10528.886389536918,1873.63,27210.35,1354958.8672900237,286494683.76953584,287849642.63682586,143924.82131841293
2023-06-01,736.42233214,10653.327863230987,1861.78,26817.93,1371056.3695316091,285700200.90317816,287071257.2727098,143535.6286363549
2023-06-02,851.92353569,12234.337306326264,1906.68,27242.59,1624345.5670294093,333295035.1579508,334919380.72498024,167459.69036249013
2023-06-03,545.66248196,7818.062516579479,1892.06,27069.22,1032426.1556172377,211628854.2350436,212661280.39066082,106330.64019533042
2023-06-04,349.17629162,5003.627313104105,1890.01,27115.21,659946.6829247162,135674405.35655355,136334352.03947827,68167.17601973914
2023-06-05,1930.8425791,27579.29270219287,1810.5,25728.2,3495790.48946055,709565558.5005586,713061348.9900192,356530.6744950096
2023-06-06,1638.25939784,23361.066023996344,1884.64,27230.08,3087529.1915451777,636123696.7187024,639211225.9102476,319605.61295512377
2023-06-07,1367.74772247,19638.645484370263,1832.13,26339.34,2505891.6347689615,517268960.55229306,519774852.187062,259887.42609353102
2023-06-08,550.22226654,7904.859819237885,1845.64,26498.61,1015512.2240168856,209467797.4546552,210483309.67867208,105241.65483933604
2023-06-09,730.928353,10536.018676846334,1840.37,26477.81,1345178.61301061,278970700.68198866,280315879.29499924,140157.93964749962
2023-06-10,2532.26226004,37140.389029418024,1751.53,25841.21,4435333.3163278615,959752592.3908873,964187925.7072151,482093.96285360755
2023-06-11,588.79482798,8683.122627132208,1752.76,25925.55,1032016.0226902248,225114729.82584742,226146745.84853765,113073.37292426883
2023-06-12,1425.53870418,21182.03176652917,1742.57,25905.19,2484100.9797429424,548724557.4979738,551208658.4777167,275604.32923885836
2023-06-13,1051.22878553,15659.805037124946,1740.12,25934.25,1829264.2342764637,406125298.7840576,407954563.0183341,203977.28150916705
2023-06-14,1356.37694708,20402.310882821686,1650.95,25128.6,2239310.520781726,512681509.250073,514920819.7708548,257460.4098854274
2023-06-15,2150.08957109,32728.776703245734,1666.96,25598.49,3584113.3114241865,837807263.1502689,841391376.461693,420695.68823084654
2023-06-16,1165.50886469,17876.9325598997,1717.92,26345.0,2002250.988828245,470967788.29055756,472970039.2793858,236485.0196396929
2023-06-17,1099.98749823,16791.639571058357,1727.76,26516.99,1900514.399941865,445263738.58935875,447164252.9893006,223582.12649465032
2023-06-18,557.07384139,8527.416495626847,1720.95,26339.97,958696.2273401205,224611894.67231628,225570590.89965641,112785.2954498282
2023-06-19,1973.77674502,30359.204405649893,1737.11,26844.35,3428667.3215416917,814973108.7868077,818401776.1083493,409200.88805417466
2023-06-20,3266.73891951,51193.60632125109,1791.99,28307.99,5853963.476372724,1449188095.8059127,1455042059.2822855,727521.0296411427
2023-06-21,3779.25549074,60247.12304971077,1889.11,29993.89,7139429.3401118405,1807045581.5694892,1814185010.909601,907092.5054548006
2023-06-22,1709.28123901,27115.566340164176,1872.01,29884.92,3199791.5722391102,810346530.8304992,813546322.4027383,406773.1612013692
2023-06-23,1715.68241563,27678.359850989993,1892.63,30688.5,3247152.010293807,849407346.2871064,852654498.2974002,426327.24914870015
2023-06-24,709.91849154,11489.144085771979,1874.96,30527.43,1331068.7748978385,350734041.8383181,352065110.6132159,176032.55530660797
2023-06-25,1077.17487284,17327.750042901218,1898.8,30462.66,2045339.648548592,527849358.12188524,529894697.77043384,264947.3488852169
2023-06-26,924.81306078,14925.797932192894,1858.97,30267.99,1719199.7355981967,451773902.55363524,453493102.28923345,226746.55114461674
2023-06-27,1568.33986468,25405.285327153833,1889.58,30692.44,2963503.641502034,779750195.5865494,782713699.2280514,391356.84961402573
2023-06-28,659.81326131,10770.457321158536,1828.02,30077.41,1206151.8379399062,323947460.73598695,325153612.57392687,162576.80628696343
2023-06-29,664.13243474,10921.866442035738,1851.99,30447.31,1229966.6278141327,332541453.33925915,333771419.96707326,166885.70998353662
2023-06-30,3058.48426392,49597.958404143676,1933.79,30472.0,5914466.284725857,1511348988.491066,1517263454.775792,758631.7273878959
2023-07-01,749.14396363,11878.201448653788,1924.5,30585.9,1441727.558005935,363305481.68837994,364747209.2463859,182373.60462319295
2023-07-02,591.39427091,9381.540500881363,1937.48,30617.03,1145814.5720027068,287234906.9616997,288380721.53370243,144190.36076685123
2023-07-03,1434.57879786,22628.544566907796,1955.54,31156.2,2805376.222367144,705019460.2354927,707824836.4578599,353912.4182289299
2023-07-04,890.30727891,14157.110952150495,1936.2,30766.51,1723812.9534255422,435564895.6804477,437288708.6338732,218644.35431693663
2023-07-05,855.99186885,13634.612800826428,1910.36,30504.81,1635252.6265762858,415921272.912778,417556525.5393543,208778.26276967715
2023-07-06,1328.82715125,21350.125688498687,1846.17,29895.43,2453240.821823213,638271188.0117143,640724428.8335376,320362.2144167688
2023-07-07,498.87884536,8085.75587803205,1870.91,30344.7,933357.4205724776,245359836.39211914,246293193.81269163,123146.59690634582
2023-07-08,227.10233499,3688.9399298289254,1865.24,30284.63,423600.35931674764,111718180.86709498,112141781.22641173,56070.89061320587
2023-07-09,424.55668141,6877.086825723809,1862.8,30160.71,790864.186130548,207417821.39547634,208208685.5816069,104104.34279080345
2023-07-10,1586.73826281,25706.562551214083,1880.4,30411.57,2983702.629387924,781776926.4856256,784760629.1150136,392380.3145575068
2023-07-11,834.23316328,13588.695211044542,1878.3,30622.1,1566940.150588824,416114383.62212706,417681323.77271587,208840.66188635794
2023-07-12,801.61071948,13020.954752480453,1871.82,30380.0,1500470.9769370535,395576605.38035613,397077076.3572932,198538.5381786466
2023-07-13,1932.45725333,30703.66933502967,2004.49,31454.23,3873591.2397274515,965760277.1079702,969633868.3476977,484816.9341738489
2023-07-14,1826.38333827,28575.70202228809,1937.83,30312.01,3539220.424399754,866186965.4566168,869726185.8810165,434863.0929405083
2023-07-15,691.45233918,10840.921962966722,1931.41,30289.52,1335477.9624156437,328366322.6157198,329701800.57813543,164850.9002890677
2023-07-16,539.49743448,8460.569167180396,1922.11,30231.99,1036973.4137883529,255779842.45650607,256816815.87029442,128408.40793514722
2023-07-17,573.10198099,9037.244623250168,1911.2,30138.0,1095312.506068088,272364478.45551354,273459790.96158165,136729.89548079082
2023-07-18,504.99256273,7955.608071388624,1897.21,29859.13,958076.9399369833,237547535.6326422,238505612.5725792,119252.8062862896
2023-07-19,425.16935557,6691.509189945807,1888.63,29909.21,802987.6000101691,200137753.579019,200940741.17902917,100470.37058951458
2023-07-20,559.68617032,8827.289619126923,1891.59,29800.0,1058696.7629156087,263053230.6499823,264111927.4128979,132055.96370644897
2023-07-21,400.98240821,6327.138452755381,1891.73,29901.72,758550.4510831033,189192322.41552463,189950872.86660773,94975.43643330387
2023-07-22,338.03185121,5359.730999995032,1866.52,29794.0,630943.2109204893,159687825.41385198,160318768.62477246,80159.38431238623
2023-07-23,365.88495713,5832.901755606934,1888.73,30083.75,691057.8950801449,175475558.1902401,176166616.08532023,88083.30804266012
2023-07-24,852.91885417,13485.057287985932,1850.0,29176.5,1577899.8802145,393446773.96292156,395024673.8431361,197512.33692156803
2023-07-25,552.20152809,8691.586931564136,1857.66,29228.91,1025802.6906716694,254045612.1798643,255071414.87053597,127535.70743526799
2023-07-26,1069.59425244,16846.337122767032,1872.0,29351.96,2002280.44056768,494473013.373973,496475293.8145407,248237.64690727033
2023-07-27,757.3132229,11908.51561859346,1861.28,29222.78,1409571.955519312,347999932.04872054,349409504.00423986,174704.75200211993
2023-07-28,386.88376338,6059.105428970931,1874.19,29314.14,725093.6804891622,177617464.81961393,178342558.5001031,89171.27925005155
2023-07-29,337.74378019,5286.01635466323,1880.46,29352.9,635113.6688960874,155159909.45679435,155795023.12569043,77897.51156284522
2023-07-30,257.48303369,4032.7353724043446,1861.79,29281.09,479379.3372937051,118082887.38555513,118562266.72284883,59281.133361424414
2023-07-31,1361.50069997,21402.766390868783,1856.14,29232.25,2527135.9092423157,625651017.829474,628178153.7387162,314089.07686935813
2023-08-01,1350.42662599,21307.23880703786,1873.47,29705.99,2529983.7709934856,632952622.9294785,635482606.700472,317741.30335023603
2023-08-02,1086.7379855,17250.425194943822,1839.9,29186.01,1999489.2195214499,503471082.2438823,505470571.46340376,252735.28573170188
2023-08-03,389.73783985,6181.729746220343,1835.81,29193.64,715484.6237750285,180467192.78844807,181182677.4122231,90591.33870611155
