date,LDO_price
2023-12-23,2.367
2023-12-24,2.423
2023-12-25,2.553
2023-12-26,2.424
2023-12-27,2.828
2023-12-28,2.705
2023-12-29,2.923
2023-12-30,2.729
2023-12-31,2.644
2024-01-01,2.913
2024-01-02,2.859
2024-01-03,3.06
2024-01-04,3.12
2024-01-05,3.558
2024-01-06,3.083
2024-01-07,2.929
2024-01-08,3.124
2024-01-09,3.639
2024-01-10,3.79
2024-01-11,3.63
2024-01-12,3.476
2024-01-13,3.353
2024-01-14,3.235
2024-01-15,3.244
2024-01-16,3.433
2024-01-17,3.201
2024-01-18,3.029
2024-01-19,2.958
2024-01-20,2.893
2024-01-21,2.861
2024-01-22,2.712
2024-01-23,2.69
2024-01-24,2.887
2024-01-25,2.982
2024-01-26,3.077
2024-01-27,3.064
2024-01-28,3.153
2024-01-29,3.152
2024-01-30,3.023
2024-01-31,2.831
2024-02-01,2.831
2024-02-02,2.819
2024-02-03,2.762
2024-02-04,2.67
2024-02-05,2.69
2024-02-06,2.788
2024-02-07,2.894
2024-02-08,2.867
2024-02-09,2.977
2024-02-10,2.96
2024-02-11,2.884
2024-02-12,3.124
2024-02-13,3.104
2024-02-14,3.279
2024-02-15,3.226
2024-02-16,3.242
2024-02-17,3.124
2024-02-18,3.332
2024-02-19,3.4
2024-02-20,3.25
2024-02-21,3.07
2024-02-22,2.958
2024-02-23,3.09
2024-02-24,3.289
2024-02-25,3.384
2024-02-26,3.621
2024-02-27,3.467
2024-02-28,3.413
2024-02-29,3.363
2024-03-01,3.353
2024-03-02,3.438
2024-03-03,3.317
2024-03-04,3.282
2024-03-05,3.112
2024-03-06,3.402
2024-03-07,3.455
2024-03-08,3.413
2024-03-09,3.359
2024-03-10,3.282
2024-03-11,3.372
2024-03-12,3.314
2024-03-13,3.432
2024-03-14,3.186
2024-03-15,2.949
2024-03-16,2.718
2024-03-17,2.723
2024-03-18,2.507
2024-03-19,2.308
2024-03-20,2.607
2024-03-21,2.864
2024-03-22,2.756
2024-03-23,2.918
2024-03-24,3.13
2024-03-25,3.308
2024-03-26,3.132
2024-03-27,2.957
2024-03-28,2.886
2024-03-29,2.802
2024-03-30,2.785
2024-03-31,2.964
2024-04-01,2.835
2024-04-02,2.597
2024-04-03,2.547
2024-04-04,2.56
2024-04-05,2.61
2024-04-06,2.536
2024-04-07,2.695
2024-04-08,2.95
2024-04-09,2.682
2024-04-10,2.621
2024-04-11,2.555
2024-04-12,2.113
2024-04-13,1.846
2024-04-14,2.11
2024-04-15,2.045
2024-04-16,2.006
2024-04-17,1.893
2024-04-18,1.989
2024-04-19,1.985
2024-04-20,2.107
2024-04-21,2.085
2024-04-22,2.149
2024-04-23,2.106
2024-04-24,2.006
2024-04-25,2.032
2024-04-26,1.949
2024-04-27,2.057
2024-04-28,2.128
2024-04-29,2.194
2024-04-30,1.871
2024-05-01,1.94
2024-05-02,1.973
2024-05-03,2.125
2024-05-04,2.066
2024-05-05,2.024
2024-05-06,1.939
2024-05-07,1.97
2024-05-08,1.852
2024-05-09,1.903
2024-05-10,1.758
2024-05-11,1.764
2024-05-12,1.782
2024-05-13,1.663
2024-05-14,1.601
2024-05-15,1.657
2024-05-16,1.648
2024-05-17,1.79
2024-05-18,1.772
2024-05-19,1.726
2024-05-20,2.095
2024-05-21,2.221
2024-05-22,2.094
2024-05-23,2.139
2024-05-24,2.368
2024-05-25,2.428
2024-05-26,2.567
2024-05-27,2.487
2024-05-28,2.355
2024-05-29,2.316
2024-05-30,2.387
2024-05-31,2.528
2024-06-01,2.438
2024-06-02,2.349
2024-06-03,2.303
2024-06-04,2.325
2024-06-05,2.266
2024-06-06,2.193
2024-06-07,2.03
2024-06-08,1.931
2024-06-09,1.881
2024-06-10,1.869
2024-06-11,1.831
2024-06-12,2.002
2024-06-13,1.862
2024-06-14,1.982
2024-06-15,2.073
2024-06-16,2.15
2024-06-17,1.987
2024-06-18,2.188
2024-06-19,2.332
2024-06-20,2.317
2024-06-21,2.265
2024-06-22,2.154
2024-06-23,2.071
2024-06-24,2.384
2024-06-25,2.334
2024-06-26,2.431
2024-06-27,2.346
2024-06-28,1.874
2024-06-29,1.922
2024-06-30,1.974
2024-07-01,2.005
2024-07-02,1.909
2024-07-03,1.725
2024-07-04,1.617
2024-07-05,1.58
2024-07-06,1.635
2024-07-07,1.565
2024-07-08,1.566
2024-07-09,1.59
2024-07-10,1.684
2024-07-11,1.582
2024-07-12,1.707
2024-07-13,1.66
2024-07-14,1.75
2024-07-15,1.811
2024-07-16,1.828
2024-07-17,1.935
2024-07-18,1.916
2024-07-19,1.959
2024-07-20,1.929
2024-07-21,1.941
2024-07-22,1.784
2024-07-23,1.755
2024-07-24,1.627
2024-07-25,1.522
2024-07-26,1.573
2024-07-27,1.632
2024-07-28,1.575
2024-07-29,1.604
2024-07-30,1.585
2024-07-31,1.611
2024-08-01,1.56
2024-08-02,1.451
2024-08-03,1.298
2024-08-04,1.218
2024-08-05,1.038
2024-08-06,1.121
2024-08-07,1.009
2024-08-08,1.166
2024-08-09,1.098
2024-08-10,1.1
2024-08-11,1.021
2024-08-12,1.089
2024-08-13,1.075
2024-08-14,1.068
2024-08-15,1.0
2024-08-16,1.005
2024-08-17,1.071
2024-08-18,1.056
2024-08-19,1.053
2024-08-20,1.093
2024-08-21,1.109
2024-08-22,1.122
2024-08-23,1.295
2024-08-24,1.293
2024-08-25,1.239
2024-08-26,1.178
2024-08-27,1.072
2024-08-28,1.042
2024-08-29,1.057
2024-08-30,1.068
2024-08-31,1.058
2024-09-01,1.004
2024-09-02,1.07
2024-09-03,0.988
2024-09-04,1.015
2024-09-05,0.966
2024-09-06,0.913
2024-09-07,0.913
2024-09-08,0.944
2024-09-09,1.006
2024-09-10,1.023
2024-09-11,1.01
2024-09-12,1.035
2024-09-13,1.061
2024-09-14,1.027
2024-09-15,0.994
2024-09-16,0.973
2024-09-17,0.991
2024-09-18,1.032
2024-09-19,1.047
2024-09-20,1.114
2024-09-21,1.148
2024-09-22,1.112
2024-09-23,1.215
2024-09-24,1.257
2024-09-25,1.23
2024-09-26,1.252
2024-09-27,1.355
2024-09-28,1.333
2024-09-29,1.325
2024-09-30,1.28
2024-10-01,1.133
2024-10-02,1.037
2024-10-03,1.019
2024-10-04,1.056
2024-10-05,1.051
2024-10-06,1.081
2024-10-07,1.069
2024-10-08,1.071
2024-10-09,1.029
2024-10-10,1.036
2024-10-11,1.074
2024-10-12,1.078
2024-10-13,1.049
2024-10-14,1.189
2024-10-15,1.14
2024-10-16,1.118
2024-10-17,1.086
2024-10-18,1.13
2024-10-19,1.138
2024-10-20,1.215
2024-10-21,1.156
2024-10-22,1.145
2024-10-23,1.095
2024-10-24,1.101
2024-10-25,1.006
2024-10-26,1.015
2024-10-27,1.038
2024-10-28,1.043
2024-10-29,1.087
2024-10-30,1.127
2024-10-31,1.04
2024-11-01,1.03
2024-11-02,0.997
2024-11-03,0.959
2024-11-04,0.938
2024-11-05,0.971
2024-11-06,1.344
2024-11-07,1.281
2024-11-08,1.276
2024-11-09,1.297
2024-11-10,1.289
2024-11-11,1.298
2024-11-12,1.19
2024-11-13,1.162
2024-11-14,1.119
2024-11-15,1.174
2024-11-16,1.219
2024-11-17,1.157
2024-11-18,1.263
2024-11-19,1.183
2024-11-20,1.113
2024-11-21,1.217
2024-11-22,1.259
2024-11-23,1.352
2024-11-24,1.458
2024-11-25,1.649
2024-11-26,1.61
2024-11-27,1.794
2024-11-28,1.711
2024-11-29,1.747
2024-11-30,1.827
2024-12-01,1.823
2024-12-02,1.86
2024-12-03,2.012
2024-12-04,2.089
2024-12-05,2.05
2024-12-06,2.257
2024-12-07,2.166
2024-12-08,2.163
2024-12-09,1.829
2024-12-10,1.842
2024-12-11,1.907
2024-12-12,2.252
2024-12-13,2.207
2024-12-14,2.214
2024-12-15,2.382
2024-12-16,2.234
2024-12-17,2.094
2024-12-18,1.873
2024-12-19,1.606
2024-12-20,1.732
2024-12-21,1.676
2024-12-22,1.719
2024-12-23,1.804
2024-12-24,1.958
2024-12-25,1.92
2024-12-26,1.775
2024-12-27,1.901
2024-12-28,1.895
2024-12-29,1.782
2024-12-30,1.879
2024-12-31,1.745
2025-01-01,1.806
2025-01-02,1.883
2025-01-03,2.01
2025-01-04,2.06
2025-01-05,2.09
2025-01-06,2.019
2025-01-07,1.768
2025-01-08,1.651
2025-01-09,1.589
2025-01-10,1.624
2025-01-11,1.592
2025-01-12,1.561
2025-01-13,1.623
2025-01-14,1.845
2025-01-15,2.081
2025-01-16,1.966
2025-01-17,1.994
2025-01-18,1.771
2025-01-19,1.621
2025-01-20,1.823
2025-01-21,1.903
2025-01-22,1.856
2025-01-23,1.822
2025-01-24,2.003
2025-01-25,1.996
2025-01-26,2.086
2025-01-27,1.917
2025-01-28,1.779
2025-01-29,1.897
2025-01-30,2.099
2025-01-31,2.302
2025-02-01,2.038
2025-02-02,1.905
2025-02-03,1.859
2025-02-04,1.708
2025-02-05,1.692
2025-02-06,1.672
2025-02-07,1.562
2025-02-08,1.528
2025-02-09,1.5
2025-02-10,1.582
2025-02-11,1.587
2025-02-12,1.744
2025-02-13,1.684
2025-02-14,1.858
2025-02-15,1.812
2025-02-16,1.785
2025-02-17,1.867
2025-02-18,1.749
2025-02-19,1.719
2025-02-20,1.779
2025-02-21,1.606
2025-02-22,1.689
2025-02-23,1.698
2025-02-24,1.411
2025-02-25,1.409
2025-02-26,1.349
2025-02-27,1.351
2025-02-28,1.27
2025-03-01,1.249
2025-03-02,1.374
2025-03-03,1.1
2025-03-04,1.082
2025-03-05,1.177
2025-03-06,1.149
2025-03-07,1.069
2025-03-08,1.07
2025-03-09,0.99
2025-03-10,0.894
2025-03-11,0.924
2025-03-12,0.92
2025-03-13,0.901
2025-03-14,0.952
2025-03-15,0.963
2025-03-16,0.922
2025-03-17,0.962
2025-03-18,0.949
2025-03-19,1.039
2025-03-20,1.02
2025-03-21,0.992
2025-03-22,1.015
2025-03-23,1.04
2025-03-24,1.074
2025-03-25,1.06
2025-03-26,1.022
2025-03-27,1.015
2025-03-28,0.928
2025-03-29,0.873
2025-03-30,0.858
2025-03-31,0.874
2025-04-01,0.899
2025-04-02,0.811
2025-04-03,0.833
2025-04-04,0.838
2025-04-05,0.826
2025-04-06,0.693
2025-04-07,0.693
2025-04-08,0.63
2025-04-09,0.74
2025-04-10,0.713
2025-04-11,0.732
2025-04-12,0.757
2025-04-13,0.721
2025-04-14,0.706
2025-04-15,0.685
2025-04-16,0.686
2025-04-17,0.683
2025-04-18,0.699
2025-04-19,0.71
2025-04-20,0.716
2025-04-21,0.713
2025-04-22,0.783
2025-04-23,0.813
2025-04-24,0.837
2025-04-25,0.854
2025-04-26,0.87
2025-04-27,0.835
2025-04-28,0.839
2025-04-29,0.827
2025-04-30,0.83
2025-05-01,0.844
